AnimalName,symptoms1,symptoms2,symptoms3,symptoms4,symptoms5,Dangerous
Dog,fever,diarrhea,vomiting,weight loss,dehydration,Yes
Dog,fever,diarrhea,coughing,tiredness,pains,Yes
Dog,fever,diarrhea,coughing,vomiting,anorexia,Yes
Dog,fever,difficulty breathing,coughing,lethargy,sneezing,Yes
Dog,fever,diarrhea,coughing,lethargy,blue eye,Yes
Dog,fever,respiratory distress,seizures,hyperesthesia,sudden death,Yes
Dog,ulcers,diarrhea,poor appetite,tarry stool,enlarged lymph nodes,Yes
Dog,facial swelling,bloody drool,foul breath,unable to eat,lossened teeth,Yes
Dog,fever,difficulty breathing,thrist and urination,weight loss,enlarged lymph nodes or swelling,Yes
Dog,swelling on leg,painfull,nasal discharge,broken bones,nasal discharge,Yes
Dog,short term lethargy,loss of  appetite,weekness in the back legs,rapid heart rate,week pulse,Yes
Dog,swollen lymph nodes,difficulty walking,back pain,lethargy,vaginal discharge,Yes
Dog,fever,diarrhea,abdominal pain,stiffness,severe weekness and depression,Yes
Dog,fever,loss of  appetite,reduce energy,lameness,swelling of joints,Yes
Dog,fever,chronic eye inflamation,poor appetite,lethargy,neurologic abnormalities,Yes
Dog,fever,swelling of face or leg,poor appetite,depression,pains,Yes
Dog,diarrhea with muscus,tensemus,watery stool,flatulence,pains,Yes
Dog,strong cough,runny nose,sneezing,lethargy,loss of appettite,Yes
Dog,fever,inflammed eye,coughing,depression,limping,Yes
Dog,fever,difficulty breathing,coughing,eye and skin change,unable to exercise,Yes
Dog,fever,loss of  appetite,coughing,lethargy,joint pain,Yes
Dog,lesions in the nasal cavity,lesions on nose,nose bleeds,noisy breathing,lesions on nose,Yes
Dog,hair loss,dandruff,darkened skin,crusting of the skin,ulcerated skin,Yes
Dog,greenish-yellow nasal discharge,lack of pigmentation,sneezing,lethargy,pain on face,Yes
Dog,fever,diarrhea,poor appetite,weight loss,vomitting,Yes
Dog,jaundice,pneumonia,lession on the skin,pain,vomitting,Yes
Dog,poor coat apperence,diarrhea,vomiting,weight loss,dehydration,Yes
Dog,watering,no appp,vomiting,lethargy,dehydration,Yes
Dog,straining,diarrhea,vomiting,weight loss,blindness,Yes
Dog,upset stomach,diarrhea,vomiting,muscle pain,muscle stiffness,Yes
Dog,upset stomach,diarrhea,coughing,weight loss,anaemia,Yes
Dog,allergic reaction,poor appetite,coughing,weight loss,distended chest,Yes
Dog,fever,anorexia,weight loss,lethargy,pain,Yes
Dog,limping,willnot run to jump,swelling,week legs,pain on leg,Yes
Cat,fever,eye ulcer,congestion,depression,pink eye,Yes
Cat,pneumonia,loss of  appetite,eye disharge,lameness,arthritis,Yes
Cat,fever,seizures,hydrophobia,jaw is dropped,shyness or aggression,Yes
Cat,bloody urine,diffculty breathing,vomiting,weight loss,anorexia,Yes
Cat,loss of eat,difficulty in breathing,swelling,lameness,neurologic abnormalities,Yes
Cat,dark or black face,diarrhea,vomiting,blood in faces,pain,Yes
Cat,jaundice,difficulty in breathing,seizures,lethargy,pale gums,Yes
Cat,appetite varies,diarrhea,vomiting,weight loss,pain,Yes
Cat,loss of eat,fell unwell,lethargy,weight loss,skin issue,Yes
Cat,sickness,loss of  appetite,vomiting,weight loss,raised growth or bump,Yes
Cat,nasal bleeding,diffulty chewing,swelling,weight loss,anorexia,Yes
Cat,ulcers,lesions,scabs,lumps,"bumps(black,grey or red)",Yes
Cat,gasc,loss of  appetite,blood in stool,stomach growling,black stool,Yes
Cat,shaking head,scartching ear,black on ear,bad smell,red and inflammation ear,Yes
Cat,attacks,loss of  appetite,coughing,weight loss,periodic vommiting,Yes
Cat,blood stool,diarrhea,coughing,weight loss,anemia,Yes
Cat,nasal discharge,nosebleeds,inflamed nostrils,sneezing,lound breathing,Yes
Cat,polyuria,loss of  appetite,vomiting,weight loss,polydipsa,Yes
Cat,exessive urination,change in gait,vomiting,weight loss,inability to jump,Yes
Cat,convulsion,loss of consciousness,chewing,twitching,salivating,Yes
Cat,wheezing,rapid breathing,coughing,swallowing,effort to breath,Yes
Cat,jaundice,weakness,lethargy,weight loss,anorexia,Yes
Cat,lession on cat skin,dandruff in cat coat,red patches,hair loss,skin issue,Yes
Cat,lethargy,diarrhea,vomiting,discharge from eye,anorexia,Yes
Cat,skin irritation,scartching,lethargy,hair loss,excessive grooming,Yes
Cat,floopy muscle,speech delay,intellectual disability,walking problem,eye movements,Yes
Cat,sensitivity to bright light,disharge from affected eye,inflammation,clouded cornea,rubbing eye,Yes
Cat,fever,diarrhea,vomiting,cramps,dehydration,Yes
Cat,tenderness,erythema,swelling,scartch,pain,Yes
Cat,fever,diarrhea,vomiting,salivation,decrease appetite,Yes
Cat,scaly patches of skin,sore,scabs,scartch,hair loss,Yes
Cat,fatty stool,diarrhea,vomiting,weight loss,pain,Yes
Cat,nausea,loss of appetite,vomiting,firm,distended stomach,Yes
Cat,fever,swelling  in the bite area,lethargy,limp,pain,Yes
Cat,fever,loss of appetite,eyeproblem,liver disease,nuerological,Yes
Cat,fever,mild sneezing,coughing,nasal,ocular discharge,Yes
Rabbit,most often none,sneezing,nasal discharge,dyspnea,pain,Yes
Rabbit,fever,diarrhea,vomiting,blood from mouth,shock,Yes
Rabbit,discomfort,diarrhea,dry or dull hair,grinding teeth,pain,Yes
Rabbit,loss of appetite,swelling,nasal discharge,blindness,lethargy,Yes
Rabbit,rhinitis,pneumonia,abscessess,torticollis,septicemia,Yes
Rabbit,fever,diarrhea,enteritis,weight loss,stomach  cramps,Yes
Rabbit,immediate death,difficulty in breathing,blue colored lip,bloody discharge,neurologic abnormalities,Yes
Rabbit,fever,pox lession on skin,skin reashes,nasal discharge,mortality varies,Yes
Rabbit,red on affected area,horny growth,wart-like growth,red skin,lesions on ear,Yes
Rabbit,fever,chills,skin ulcer,exhaustion,swollen and painfull,Yes
Rabbit,watering diarrhea,depression,emaciation,ruffled coat,lethargy,Yes
Cattle,loss in weight,emaciation,loss of appetite,weakness,diarrhea,Yes
Poultry,loss of appetite,diarrhea,swollen purple wattle,swollen comb,lameness,Yes
Poultry,loss of appetite,diarrhea,ruffled feathers,weight loss,inability to absorb nutrients,Yes
Poultry,egg production decreases,stunted growth,blindness,distinctive bumps,facial swelling,Yes
Poultry,loss of appetite,thirst,ruffled feathers,closed eyes,diarrhea,Yes
Cattle,fever,weakened legs,los of the ability to walk,mammary glads,fluif filled blisters,Yes
Cattle,fever,weakened legs,los of the ability to walk,weight loss,lameness,Yes
Cattle,abortion at the end of gestation,fatigue,weak calves,join pains,swelling of internal organs,Yes
Mammal,swollen,red-colored,hot udder,milk getting out more watery,milk getting out more thick,Yes
Cattle,fever,distress,trembling,staggering,convulsion,Yes
Cattle,fever,animal become lame,prostrat,painfull swalling,lameness,Yes
Cattle,fever,difficulty in breathing,dribbling of saliva,inability of swalllon feeding,moist and painfull,Yes
Cattle,fluif faeces on blood and muscle,sudden death,blooody fluid,red diarrhea,faeces are streake with blood,Yes
Cattle,fever,pneumonia,stand with head droping,weight loss,abnormal behaviour,Yes
Cattle,fever,slightly swollen,lession on the skin,milky hard,papules appear on teats anad udder,Yes
Cattle,fever,dull,hind quarted soil,animal stop feed,decrease in milk production,Yes
Cattle,severe,diarrhea,blood on faces,appetite,milk reduce,Yes
Cattle,fever,depression,relunctance to move,salivation,nasal discharge,Yes
Cattle,normal appetite,diarrhea,swelling may occur under jaw,weight loss,drop in milk production,Yes
Cattle,swelling on leg,heat,hardness,redness,pain,Yes
Cattle,inability to stand,diarrhea,bottle jaw,pot belly,dry hair coat,Yes
Cattle,excitability,nervousness,loss of appetite,hyper sensitivity,weakness,Yes
Cattle,fever,depression,attack,bite other animals,pain,Yes
Cattle,fever,difficulty in breathing,coughing,painfull,eye become dull,Yes
Cattle,fever,ulcer on gum,red eye,yellowish discharge,bloody diarrhea,Yes
Cattle,fever,diarrhea,coughing,consistency of milk,pain,Yes
Cattle,animal gets uneasy,difficulty in breathing,difficult in respiration,excessive production,stamping and pedding of hind eye,Yes
Horse,fever,chills,severe colic,weakness,anorexia,Yes
Horse,fever,body stiffness,lethargy,severe inflammation,pain,Yes
Horse,sickness,diarrhea,weight loss,nausea,dehydration,Yes
Horse,sudden death,trouble walking,paralysis,depression,convulsion,Yes
Horse,fever,abortion,kidney failure,inflammation of eye,eye redness,Yes
Horse,small red bumps,pneumonia,septic arthritis,skin infection,pain,Yes
Horse,fever,ataxia,aggressiveness,depression,obscure lameness,Yes
Horse,ring shaped lesion,round patches,dry skin,size of lesions vary,pain,Yes
Horse,fever,diarrhea,loss of appetite,colic,weakness,Yes
Horse,fever,depression,loss of appetite,stumbling,ataxia,Yes
Turtle,bubbles in the mouth,wheezing,loss of appetite,lethargy,nasal discharge,Yes
Turtle,changes in outer layer skin,swelling of eye,loss of appetite,lethargy,respiratory infection,Yes
Turtle,red tinge,slim over the shell,bad smell,easily damage shell,flaking of the scutes,Yes
Turtle,passing of undigested food,diarrhea,vomiting,gas or bloating,dehydration,Yes
Hamster,smell,diarrhea,loss of appetite,excess sleeping,folded ears,Yes
Hamster,loss of activity,rough coat,loss of appetite,weight loss,eventually death,Yes
Hamster,fever,diarrhea,vomiting,dehydration,pain,Yes
Hamster,bald patches,hair loss,crusty,flaky,red lesion from bald patches,Yes
Hamster,poor condition,enlarged lymph nodes,diarrhea,weight loss,pain,Yes
Hamster,fever,chills,coughing,progressive weakness,joint pain,Yes
Hamster,heavy infection,diarrhea,vitamin and minerals defiency,weight loss,pain,Yes
Wild_Cat,fever,diarrhea,muscle weakness,muscle pain,abdonormal discomfort,Yes
Wild_Cat,fever,chills,headache,nausea,pain,Yes
Wild_Cat,thicked skin,hair tining,hair loss,scabbing,itchiness,Yes
Wild_Cat,facial edema,loss of earing,vomiting,head ache,throat and ear pain,Yes
Wild_Cat,general malaise,hepatic failure,vomiting,weight loss,abdonormal pain,Yes
Wild_Cat,upset stomach,loss of appetite,nause,weight loss,abdonormal pain,Yes
Wild_Cat,fever,muscle loss,skeleten pain,weight loss,wasting,Yes
Wild_Cat,oedema,swelling of face or leg,swelling of neck,weight loss,pain,Yes
Wild_Cat,poor growth,short stature,enlargement of bones,lameness,weigth bearing long bones,Yes
Wild_Cat,fever,chills,sweat,head ache,fatique,Yes
Wild_Cat,fever,loss of appetite,weakness,weight loss,vomitting,Yes
Wild_Cat,dullness,lacrimation,coughing,diarrhea,seizures,Yes
Wild_Cat,vomiting,bloody diarrhea,lethargy,dehydration,anorexia,Yes
Wild_Cat,fever,uncharacteristic hiding,depression,dehydration,stopped eat,Yes
Wild_Cat,fever,poor coat condition,infection of the skin,weight loss,fatique,Yes
Wild_Cat,weakness,stiffness,trembling,white mark on the muscle,loss of vitamin e,Yes
Fox,partial paralysis,staggering as drunk,self mutilation,acting aggressive,acting unnaturally tame,Yes
Fox,fever,tiredness,headache,skin rashes,pain,Yes
Fox,thick crusting,itchiness,hair loss,watery eye,pain,Yes
Fox,constant pacing,facial muscle twitching,abnormalalities,blindness,muscle pain,Yes
Fox,loss od appetite,wheezing,seizures,skin rashes,fatique,Yes
Fox,indigestion,abdminal pain,constipation,diarrhea,nausea,Yes
Fox,blood in urine,diarrhea,vomiting,lethargy,bleeding in eye and skin,Yes
Goat,fever,malaise,weakness,weight loss,pain,Yes
Goat,fever,diarrhea,vomiting,stomach cramps,nausea,Yes
Goat,fever,lack of coordination,depression,salivation,facial paralysis,Yes
Goat,sores on lip,infection,sores on lower leg and teats,lesion,pain,Yes
